magnitude,location,style,percentile,model_name,mu,sigma,alpha,beta,xd,d_xd,displ_without_aleatory,displ_with_aleatory,normalized_d_xd
7.0,0.43,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.3438554459580803,0.5431673018312716,1.1261597469078675,1.2731056384635824,1.433720323599127,1.5449891644243279,1.2464150189944014
7.0,0.44,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.2920495103648237,0.5713205747411865,1.1261597469078675,1.3094950435968862,1.4747006068741761,1.5932485935162624,1.2820415213993073
7.0,0.45,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.2323391904037146,0.6047667091661185,1.1261597469078675,1.3500444259230118,1.5203656890118362,1.6432069615449165,1.3217407872066786
7.0,0.46,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.165011341480815,0.6444492518786318,1.1261597469078675,1.3952399393260642,1.5712630569471888,1.6981741415848108,1.3659887780998072
7.0,0.47000000000000003,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.0904739278344087,0.6915339036082725,1.1261597469078675,1.4456335957066468,1.6280143642625078,1.7593480676388513,1.4153259330672487
7.0,0.48,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.0092533793389378,0.7474690344950743,1.1261597469078675,1.5018546835104412,1.6913282902745137,1.827959665233377,1.4703683475423117
7.0,0.49,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.9219886399601216,0.8140648075451186,1.1261597469078675,1.5646233122930406,1.76201579337808,1.9044089398328905,1.5318210340065186
7.0,0.5,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.829421871997859,0.8935973471085148,1.1261597469078675,1.6347665315595796,1.8410082634345886,1.9860426010964143,1.6004937028982702
7.0,0.51,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.9219886399601216,0.8140648075451186,1.1261597469078675,1.5646233122930406,1.76201579337808,1.9044931565357133,1.5318210340065186
7.0,0.52,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.0092533793389378,0.7474690344950743,1.1261597469078675,1.5018546835104412,1.6913282902745137,1.8270361312607166,1.4703683475423117
7.0,0.53,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.0904739278344087,0.6915339036082732,1.1261597469078675,1.4456335957066482,1.6280143642625093,1.7587302184380946,1.41532593306725
7.0,0.54,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.1650113414808136,0.6444492518786316,1.1261597469078675,1.3952399393260628,1.5712630569471873,1.6983734951655345,1.365988778099806
7.0,0.55,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.2323391904037155,0.6047667091661185,1.1261597469078675,1.3500444259230122,1.5203656890118367,1.6466530176925787,1.321740787206679
7.0,0.56,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.292049510364825,0.5713205747411867,1.1261597469078675,1.3094950435968875,1.4747006068741777,1.5914883910785578,1.2820415213993086
7.0,0.5700000000000001,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.3438554459580816,0.5431673018312714,1.1261597469078675,1.2731056384635824,1.433720323599127,1.5487869833113619,1.2464150189944014
7.0,0.58,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.387590742546962,0.5195388956120719,1.1261597469078675,1.2404462575564552,1.396940643462589,1.509260627225188,1.2144403409756719
7.0,0.59,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.423206347021218,0.4998067776244798,1.1261597469078675,1.2111349558238618,1.3639314353218714,1.473992470094208,1.1857435497574103
7.0,0.6,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.450764459076272,0.48345356886649254,1.1261597469078675,1.1848308241915828,1.334308781100233,1.4398354863104394,1.1599908834133628
7.0,0.61,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.4704304334197666,0.47005089636626357,1.1261597469078675,1.1612280396394583,1.3077282752226915,1.4118740845810887,1.1368829304933203
7.0,0.62,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.4824629689796196,0.4592418047049329,1.1261597469078675,1.1400507739873664,1.283879291095731,1.3889384829561149,1.1161496455462387
7.0,0.63,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.487203034976792,0.45072670444409174,1.1261597469078675,1.1210488272384327,1.262480063554195,1.3635348104729064,1.0975460740102696
7.0,0.64,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.485061977794622,0.4442520488623462,1.1261597469078675,1.1039938751851752,1.2432734630663727,1.3403857084774653,1.080848678487724
7.0,0.65,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.476509229818395,0.4396011238180303,1.1261597469078675,1.0886762405738912,1.226023359549302,1.3243791025626452,1.0658521776018952
7.0,0.66,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.4620600051805384,0.4365864808319363,1.1261597469078675,1.0749021132588301,1.210511491818296,1.3075701817451508,1.0523668244306121
7.0,0.67,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.442263321164607,0.4350436535238849,1.1261597469078675,1.0624911581068277,1.1965347737054322,1.2927155453977075,1.0402160645610772
7.0,0.68,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.417690631390909,0.4348258816902936,1.1261597469078675,1.0512744604489146,1.1839029803098546,1.276431227978016,1.0292345246150172
7.0,0.6900000000000001,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.3889253010948273,0.43579963239048586,1.1261597469078675,1.0410927680254565,1.1724367681471592,1.2662911462384365,1.0192662910513868
7.0,0.7000000000000001,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.356553098713369,0.43784075840366915,1.1261597469078675,1.0317949959591781,1.161965991510192,1.256762138267784,1.0101634464825875
7.0,0.71,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.3211538240516836,0.44083117498237695,1.1261597469078675,1.0232369675715411,1.1523282844271405,1.2444412734534966,1.0017848368895892
7.0,0.72,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.283294143435899,0.4446559686376982,1.1261597469078675,1.0152803690342729,1.143367883432163,1.2350113975055075,0.9939950481891571
7.0,0.73,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.24352165788008,0.44920087868899705,1.1261597469078675,1.0077919000775275,1.1349346711271073,1.2259208298583115,0.9866635747473892
7.0,0.74,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.2023601923183556,0.4543501148782233,1.1261597469078675,1.000642606383071,1.126883424349588,1.217383030957797,0.979664165769257
7.0,0.75,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.160306262846681,0.4599844934309068,1.1261597469078675,0.993707381971146,1.1190732537811054,1.2081412081623022,0.9728743381179148
7.0,0.76,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.1178266547684292,0.4659798901370498,1.1261597469078675,0.9868646319183084,1.111367224113448,1.2008700357664062,0.9661750461036445
7.0,0.77,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.075357026820171,0.4722060226333754,1.1261597469078675,0.9799960871789803,1.103632145508181,1.1906515872718961,0.9594505001876706
7.0,0.78,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.0333014458106886,0.4785255851646366,1.1261597469078675,0.9729867641726614,1.0957385280853893,1.1834386463748778,0.9525881274166237
7.0,0.79,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.9920327504177073,0.48479376756132664,1.1261597469078675,0.9657250621805522,1.0875606916078353,1.1737389037542683,0.9454786667772461
7.0,0.8,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.9518936423393953,0.49085819571410527,1.1261597469078675,0.9581029915045487,1.0789770224244333,1.1660852638092838,0.9380163925720413
7.0,0.81,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.913198406641777,0.4965593330591617,1.1261597469078675,0.9500165248118917,1.0698703691404516,1.1554957348155173,0.9300994583979932
7.0,0.8200000000000001,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.8762351702432725,0.5017313810580941,1.1261597469078675,0.9413660631559254,1.0601285674313325,1.14423799653187,0.9216303533972144
7.0,0.8300000000000001,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.8412686173508745,0.5062037109005596,1.1261597469078675,0.9320570068677552,1.0496450829578956,1.1340894725857844,0.9125164611798786
7.0,0.84,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.8085430927098824,0.5098028482810107,1.1261597469078675,0.9220004199024462,1.0383197595262863,1.1200045117494812,0.9026707102424217
7.0,0.85,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.7782860372567102,0.5123550178454214,1.1261597469078675,0.9111137743529254,1.0260596575295624,1.1075706781574226,0.8920123028727339
