"","c1","c2","c3","alpha","beta","gamma","s_m,s1","s_m,s2","s_m,s3","s_s1","s_s2","lambda"
"146",0.547729,2.2482,1.87918,0.805175,0.987558,6.3216,0.599891,-0.0995069,7.31698,0.559885,1.02947,0.163333
"147",0.768831,3.04176,1.33755,0.756506,0.947446,6.04016,0.331665,-0.883651,7.22256,0.551517,1.02782,0.165096
"148",0.562766,2.69108,2.12619,0.765232,0.945539,5.77454,0.587902,-0.457099,6.75009,0.572967,0.801964,0.161971
"149",0.781866,3.12914,1.54237,0.706508,0.889973,5.76818,0.538256,-1.04314,6.20478,0.559839,0.926993,0.162365
"150",0.7365,3.43862,1.44615,0.757073,0.926044,5.89358,0.488627,-0.507908,7.19194,0.580663,0.997162,0.148239
"151",1.03845,3.85186,1.13945,0.734118,0.937321,6.04074,0.533614,-1.14978,6.88463,0.55118,1.20648,0.141066
"152",0.902389,3.52376,1.3753,0.749097,0.913524,5.67164,0.556297,-1.85568,6.61888,0.570325,0.956958,0.178638
"153",0.980194,3.81449,0.964833,0.694912,0.870273,5.71912,0.652518,-0.962938,6.26807,0.561155,1.14383,0.14259
"154",1.03324,3.90346,0.826294,0.774524,0.938705,5.94606,0.40138,-0.898412,6.806,0.542743,1.10541,0.15223
"155",1.20423,3.86025,0.731701,0.777192,0.964825,6.25203,0.615506,-0.899652,6.34629,0.575731,0.823672,0.164244
"156",1.14682,3.33995,0.714828,0.813972,0.971841,6.17151,0.665583,-1.3582,6.58878,0.538236,1.33416,0.153862
"157",0.82659,2.90152,1.17715,0.766156,0.952245,6.0023,0.464582,-0.538552,6.70359,0.547479,1.12167,0.149625
"158",0.927057,3.03587,1.07328,0.772923,0.927813,5.99021,0.486381,-0.864404,7.18728,0.547094,1.18885,0.162273
"159",0.779365,3.37006,1.34991,0.770533,0.94232,6.03091,0.491717,-1.88462,6.25993,0.565377,0.985052,0.165272
"160",0.580131,2.40174,1.8808,0.79815,0.964932,6.24936,0.412325,-0.549715,6.74984,0.568682,1.01633,0.161647
"161",0.682059,2.68037,1.81502,0.768004,0.966214,5.98018,0.586994,-0.136341,6.89135,0.55168,1.02624,0.159796
"162",0.594034,2.51609,1.43069,0.799199,0.970219,6.14506,0.45774,-0.152774,7.9253,0.5419,1.1975,0.157988
"163",0.578704,2.27063,1.55517,0.791453,0.965655,6.12136,0.414078,-1.36372,7.17166,0.548046,1.09401,0.149303
"164",0.598294,2.97462,1.7085,0.763218,0.948543,6.04252,0.736955,-0.0840055,7.45746,0.559649,0.96617,0.171635
"165",0.797824,3.00616,1.15941,0.806449,0.977353,6.38634,0.507408,-1.36479,6.08801,0.554009,1.12332,0.153232
"166",0.738886,2.85868,1.27436,0.810557,0.987303,6.36401,0.554273,-0.640407,6.89622,0.549848,1.03015,0.168987
"167",0.795431,2.79869,1.28364,0.79838,0.964329,6.26964,0.426632,-0.609831,7.18579,0.579361,1.09474,0.159807
"168",0.561294,2.36137,1.9311,0.668918,0.849467,5.61144,0.485794,-0.476402,7.19419,0.567785,0.932631,0.160452
"169",0.709098,3.27514,1.57842,0.828287,0.962464,5.92988,0.44513,-0.570017,6.96187,0.543624,1.29902,0.159153
"170",0.597507,3.10528,1.67797,0.812186,0.966838,6.156,0.5197,-1.95147,6.1108,0.570237,0.918303,0.162084
"171",0.737403,3.26772,1.76197,0.795627,0.991177,6.37403,0.468597,-1.04665,6.27236,0.573245,0.928103,0.175227
"172",0.659647,3.03887,1.60408,0.809343,0.989098,6.10597,0.530845,-0.922483,7.21437,0.563906,1.13119,0.156047
"173",0.734837,2.23741,1.42761,0.75657,0.937532,5.87638,0.519469,-0.867713,7.0297,0.55585,1.24419,0.162746
"174",1.03583,3.025,0.999894,0.80842,0.972457,6.22061,0.512208,-0.894603,7.22942,0.552058,1.12315,0.160992
"175",0.801737,2.5832,1.44152,0.763491,0.929158,5.72111,0.559796,-0.681577,6.67624,0.570466,1.18501,0.161831
"176",0.852726,2.55976,1.62587,0.686238,0.87582,5.85145,0.327358,-0.241872,7.80883,0.558214,1.19643,0.166578
"177",0.931245,2.8847,1.35116,0.818425,0.985252,6.53176,0.271709,-0.269755,7.83128,0.569613,1.03176,0.162167
"178",0.967803,2.72043,1.25216,0.781363,0.965382,6.05209,0.519019,-0.478352,7.38609,0.548512,1.24433,0.161781
"179",0.982814,3.00418,1.35332,0.784493,0.967017,6.18108,0.424334,-0.355604,7.73592,0.561659,1.16921,0.161187
"180",0.865985,2.70259,1.15712,0.787277,0.971602,6.36064,0.484396,-0.35567,7.51728,0.545013,1.2315,0.146471
"181",0.980913,3.26278,0.871488,0.781116,0.973914,6.10217,0.362984,-0.374003,7.44709,0.528171,1.37513,0.164614
"182",0.932981,3.08463,1.1021,0.774758,0.97609,6.16427,0.654855,-0.611755,6.16054,0.585592,0.815523,0.166101
"183",0.887788,3.311,1.34599,0.777774,0.961507,6.34403,0.63691,-0.869632,6.38446,0.526005,1.41818,0.161102
"184",0.864601,3.35635,1.34826,0.786487,0.951018,6.26613,0.630003,-1.18921,6.187,0.528662,1.38834,0.155721
"185",0.923199,2.86958,0.967077,0.80488,0.98425,6.36248,0.485209,-0.737558,7.1757,0.570957,1.02579,0.16502
"186",0.60861,2.32139,1.60603,0.696363,0.841033,5.73896,0.54281,-0.82543,6.82428,0.544247,1.25575,0.157984
"187",0.647062,3.02879,1.33138,0.797255,0.98369,6.37569,0.450918,-0.744377,7.03561,0.568926,0.952884,0.163306
"188",0.615813,2.82903,1.85551,0.753854,0.93596,6.33896,0.421949,-0.582816,7.20875,0.543657,1.16295,0.157838
"189",0.686305,2.53279,1.5325,0.770473,0.970201,6.27295,0.5069,-1.34488,6.42713,0.580102,0.933821,0.166561
"190",0.446848,2.43197,2.30466,0.733631,0.893858,5.48081,0.651313,-0.214281,7.00391,0.559275,1.13908,0.162796
"191",0.589971,2.72802,2.14854,0.77698,0.953126,6.07643,0.566763,-0.491212,7.27295,0.574362,0.912103,0.165015
"192",0.603264,2.47521,2.15492,0.787799,0.971675,6.15338,0.369235,-0.266354,7.61669,0.554055,1.15511,0.155934
"193",0.790074,3.63702,0.797268,0.790284,0.978752,6.30909,0.643264,-0.835454,6.76408,0.549753,1.10191,0.153283
"194",0.693857,3.45895,0.977606,0.817358,0.986602,6.24386,0.490904,-1.13576,6.54717,0.541802,1.35428,0.151621
